Rk,Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,All Star and/or HOF (played prior to 1933 when AS Game was created)
556,Carlton Fisk,1972,24,BOS,AL,131,514,457,74,134,28,9,22,61,52,6,83,4,1,0,11,5,2,0.293,0.37,0.538,0.909,*2/H,1
557,Dick Allen,1964,22,PHI,NL,162,709,632,125,201,38,13,29,91,67,13,138,0,6,3,8,3,4,0.318,0.382,0.557,0.939,*5,1
558,Harmon Killebrew,1961,25,MIN,AL,150,656,541,94,156,20,7,46,122,107,6,109,3,0,5,11,1,2,0.288,0.406,0.606,1.012,*35/7,1
559,Mickey Mantle,1960,28,NYY,AL,153,644,527,119,145,17,6,40,94,111,6,125,1,0,5,11,14,3,0.275,0.399,0.558,0.957,*8/H,1
560,Al Kaline,1955,20,DET,AL,152,681,588,121,200,24,8,27,102,82,12,57,5,0,6,13,6,8,0.34,0.421,0.546,0.967,*9,1
561,Mickey Mantle,1952,20,NYY,AL,142,626,549,94,171,37,7,23,87,75,10,111,0,2,,5,4,1,0.312,0.394,0.53,0.924,*89/H5,1
562,Hank Greenberg,1946,35,DET,AL,142,604,523,90,145,29,5,44,127,80,7,88,0,1,,17,5,1,0.277,0.373,0.604,0.977,*3/H,1
563,Bill Nicholson,1944,29,CHC,NL,156,686,582,116,167,35,8,33,122,93,27,71,6,5,,3,3,3,0.287,0.391,0.545,0.935,*9,1
564,Ernie Lombardi,1942,34,BSN,NL,105,347,309,32,102,14,0,11,46,37,7,12,1,0,,17,1,1,0.33,0.404,0.482,0.886,*2H,1
565,Jeff Heath,1941,26,CLE,AL,151,643,585,89,199,32,20,24,123,50,11,69,4,4,,5,18,12,0.34,0.396,0.586,0.982,*97/H,1
566,Charlie Keller,1941,24,NYY,AL,140,610,507,102,151,24,10,33,122,102,8,65,1,0,,3,6,4,0.298,0.416,0.58,0.996,*7/H,1
567,Ted Williams,1940,21,BOS,AL,144,661,561,134,193,43,14,23,113,96,3,54,3,1,,13,4,4,0.344,0.442,0.594,1.036,*79/H1,1
568,Johnny Mize,1936,23,STL,NL,126,469,414,76,136,30,8,19,93,50,21,32,1,4,,4,1,1,0.329,0.402,0.577,0.98,*3H/9,1
569,Dolph Camilli,1936,29,PHI,NL,151,651,530,106,167,29,13,28,102,116,8,84,3,2,,7,5,7,0.315,0.441,0.577,1.018,*3/H,1
570,Jim Bottomley,1928,28,STL,NL,149,667,576,123,187,42,20,31,136,71,3,54,3,17,,,10,3,0.325,0.402,0.629,1.03,*3/H,1
571,Eddie Collins,1911,24,PHA,AL,132,595,493,92,180,22,13,3,73,62,,39,15,18,,,38,,0.365,0.451,0.481,0.932,*4,1
572,Jesse Burkett,1899,30,STL,NL,141,635,558,116,221,21,8,7,71,67,,23,2,8,,,25,,0.396,0.463,0.5,0.963,*7/94,1
573,Billy Hamilton,1898,32,BSN,NL,110,508,417,110,154,16,5,3,50,87,,30,2,2,,,54,,0.369,0.48,0.453,0.933,*8,1
574,Travis Hafner,2004,27,CLE,AL,140,576,482,96,150,41,3,28,109,68,7,111,17,0,6,11,3,2,0.311,0.41,0.583,0.993,*D3/H,0
575,Chris Hoiles,1993,28,BAL,AL,126,503,419,80,130,28,0,29,82,69,4,94,9,3,3,10,1,1,0.31,0.416,0.585,1.001,*2/HD,0
576,Gavvy Cravath,1914,33,PHI,NL,149,605,499,76,149,27,8,19,100,83,,72,3,19,,,14,,0.299,0.402,0.499,0.901,*9/H7,0
577,Doc Gessler,1908,27,BOS,AL,128,508,435,55,134,13,14,3,63,51,,47,11,10,,,19,,0.308,0.394,0.423,0.817,*9/H,0
578,Charlie Bennett,1885,30,DTN,NL,91,396,349,49,94,24,13,5,60,47,,37,,,,,,,0.269,0.356,0.456,0.812,*275/9,0
579,Levi Meyerle,1876,26,ATH,NL,55,259,256,46,87,12,8,0,34,3,,2,,,,,,,0.34,0.348,0.449,0.797,*5/941,0
580,Manny Machado,2020,27,SDP,NL,60,254,224,44,68,12,1,16,47,26,4,37,0,0,4,9,6,3,0.304,0.37,0.58,0.951,*5/D,1
581,David Ortiz,2006,30,BOS,AL,151,686,558,115,160,29,2,54,137,119,23,117,4,0,5,12,1,0,0.287,0.413,0.636,1.049,*D3/H,1
582,Jason Giambi,2005,34,NYY,AL,139,545,417,74,113,14,0,32,87,108,5,109,19,0,1,7,0,0,0.271,0.44,0.535,0.975,3D/H,1
583,Carlos Delgado,2005,33,FLA,NL,144,616,521,81,157,41,3,33,115,72,20,121,17,0,6,16,0,0,0.301,0.399,0.582,0.981,*3/HD,1
584,Carlos Delgado,2003,31,TOR,AL,161,705,570,117,172,38,1,42,145,109,23,137,19,0,7,9,0,0,0.302,0.426,0.593,1.019,*3D,1
585,Lance Berkman,2001,25,HOU,NL,156,688,577,110,191,55,5,34,126,92,5,121,13,0,6,8,7,9,0.331,0.43,0.621,1.051,*78/9H,1
586,Sammy Sosa,2000,31,CHC,NL,156,705,604,106,193,38,1,50,138,91,19,168,2,0,8,12,7,4,0.32,0.406,0.634,1.04,*9/8,1
587,Alex Rodriguez,1996,20,SEA,AL,146,677,601,141,215,54,1,36,123,59,1,104,4,6,7,15,15,4,0.358,0.414,0.631,1.045,*6/H,1
588,Paul Molitor,1987,30,MIL,AL,118,542,465,114,164,41,5,16,75,69,2,67,2,5,1,4,45,10,0.353,0.438,0.566,1.003,D54/H,1
589,Don Mattingly,1986,25,NYY,AL,162,742,677,117,238,53,2,31,113,53,11,35,1,1,10,17,0,0,0.352,0.394,0.573,0.967,*3/5D,1
590,Mike Schmidt,1982,32,PHI,NL,148,631,514,108,144,26,3,35,87,107,17,131,3,0,7,11,14,7,0.28,0.403,0.547,0.949,*5,1
591,Reggie Jackson,1973,27,OAK,AL,151,629,539,99,158,28,2,32,117,76,11,111,7,0,7,13,22,8,0.293,0.383,0.531,0.914,*9/HD8,1
592,Al Kaline,1966,31,DET,AL,142,572,479,85,138,29,1,29,88,81,7,66,5,1,6,7,5,5,0.288,0.392,0.534,0.927,89/H,1
593,Ron Santo,1966,26,CHC,NL,155,672,561,93,175,21,8,30,94,95,7,78,6,2,8,16,4,5,0.312,0.412,0.538,0.95,*5/6,1
594,Henry Aaron,1965,31,MLN,NL,150,639,570,109,181,40,1,32,89,60,10,81,1,0,8,15,24,4,0.318,0.379,0.56,0.938,*9/H,1
595,Rico Carty,1964,24,MLN,NL,133,505,455,72,150,28,4,22,88,43,4,78,3,0,4,16,1,2,0.33,0.388,0.554,0.942,*7H/9,1
596,Willie McCovey,1963,25,SFG,NL,152,627,564,103,158,19,5,44,102,50,5,119,11,1,1,10,1,1,0.28,0.35,0.566,0.915,*73/H9,1
597,Augie Galan,1944,32,BRO,NL,151,655,547,96,174,43,9,12,93,101,5,23,2,4,,8,4,3,0.318,0.426,0.495,0.922,*78/H94,1
598,Johnny Mize,1942,29,NYG,NL,142,607,541,97,165,25,7,26,110,60,11,39,5,1,,8,3,1,0.305,0.38,0.521,0.901,*3/H,1
599,Jimmie Foxx,1930,22,PHA,AL,153,674,562,127,188,33,13,37,156,93,9,66,0,18,,,7,7,0.335,0.429,0.637,1.066,*3,1
600,Lefty O'Doul,1929,32,PHI,NL,154,732,638,152,254,35,6,32,122,76,1,19,4,13,,,2,6,0.398,0.465,0.622,1.088,*79,1
601,Harry Heilmann,1925,30,DET,AL,150,665,573,97,225,40,11,13,134,67,,27,1,23,,,6,6,0.393,0.457,0.569,1.026,*9/H,1
602,George Sisler,1917,24,SLB,AL,135,587,539,60,190,30,9,2,52,30,,19,3,15,,,37,,0.353,0.39,0.453,0.843,*3/4,1
603,Honus Wagner,1903,29,PIT,NL,129,573,512,97,182,30,19,5,101,44,,17,7,8,,,46,,0.356,0.414,0.518,0.932,*69/37,1
604,Roger Bresnahan,1903,24,NYG,NL,113,486,406,87,142,30,8,4,55,61,,45,7,12,,,34,,0.35,0.443,0.493,0.936,*832/759,1
605,Honus Wagner,1902,28,PIT,NL,136,600,534,105,176,30,16,3,91,43,,51,14,8,,,42,,0.33,0.394,0.463,0.857,63978/41,1
606,Ed Delahanty,1897,29,PHI,NL,129,598,530,109,200,40,15,5,96,60,,23,3,5,,,26,,0.377,0.444,0.538,0.981,*7/39,1
607,Joe Kelley,1894,22,BLN,NL,129,638,507,165,199,48,20,6,111,107,,36,5,19,,,46,,0.393,0.502,0.602,1.104,*7,1
608,Roger Connor,1889,31,NYG,NL,131,591,496,117,157,32,17,13,130,93,,46,2,,,,21,,0.317,0.426,0.528,0.955,*3/5,1
609,Roger Connor,1887,29,NYG,NL,127,554,471,113,134,26,22,17,104,75,,50,8,,,,43,,0.285,0.392,0.541,0.933,*3,1
610,Mike Yastrzemski,2020,29,SFG,NL,54,225,192,39,57,14,4,10,35,30,2,55,3,0,0,2,2,1,0.297,0.4,0.568,0.968,98/7H,0
611,Topsy Hartsel,1901,27,CHC,NL,140,636,558,111,187,25,16,7,54,74,,48,1,3,,,41,,0.335,0.414,0.475,0.889,*7/9,0
612,Bill Joyce,1896,28,TOT,NL,130,600,475,121,158,25,12,13,94,101,,34,22,2,,,45,,0.333,0.47,0.518,0.988,*54,0
613,Jose Altuve,2017,27,HOU,AL,153,662,590,112,204,39,4,24,81,58,3,84,9,1,4,19,32,6,0.346,0.41,0.548,0.958,*4/DH,1
614,Joey Votto,2016,32,CIN,NL,158,677,556,101,181,34,2,29,97,108,15,120,5,0,8,16,8,1,0.326,0.434,0.55,0.985,*3/HD,1
615,Paul Goldschmidt,2013,25,ARI,NL,160,710,602,103,182,36,3,36,125,99,19,145,3,0,5,25,15,7,0.302,0.401,0.552,0.952,*3/H,1
616,Paul Konerko,2010,34,CHW,AL,149,631,548,89,171,30,1,39,111,72,7,110,5,0,6,9,0,1,0.312,0.393,0.584,0.977,*3D/H,1
617,Lance Berkman,2008,32,HOU,NL,159,665,554,114,173,46,4,29,106,99,18,108,7,0,5,13,18,4,0.312,0.42,0.567,0.986,*3/DH,1
618,Lance Berkman,2004,28,HOU,NL,160,687,544,104,172,40,3,30,106,127,14,101,10,0,6,10,9,7,0.316,0.45,0.566,1.016,97/38H,1
619,Manny Ramirez,2003,31,BOS,AL,154,679,569,117,185,36,1,37,104,97,28,94,8,0,5,22,3,1,0.325,0.427,0.587,1.014,*7D/H,1
620,Jim Edmonds,2003,33,STL,NL,137,531,447,89,123,32,2,39,89,77,6,127,4,1,2,11,1,3,0.275,0.385,0.617,1.002,*8H/D7,1
621,Vladimir Guerrero,2002,27,MON,NL,161,709,614,106,206,37,2,39,111,84,32,70,6,0,5,20,40,20,0.336,0.418,0.593,1.01,*9,1
622,Sammy Sosa,2002,33,CHC,NL,150,666,556,122,160,19,2,49,108,103,15,144,3,0,4,14,2,0,0.288,0.399,0.594,0.993,*9,1
623,Edgar Martinez,2001,38,SEA,AL,132,581,470,80,144,40,1,23,116,93,9,90,9,0,9,11,4,1,0.306,0.423,0.543,0.966,*D/H3,1
624,Larry Walker,2001,34,COL,NL,142,601,497,107,174,35,3,38,123,82,6,103,14,0,8,9,14,5,0.35,0.449,0.662,1.111,*9/HD,1
625,Todd Helton,2001,27,COL,NL,159,697,587,132,197,54,2,49,146,98,15,104,5,1,5,14,7,5,0.336,0.432,0.685,1.117,*3/H,1
626,Chipper Jones,2001,29,ATL,NL,159,677,572,113,189,33,5,38,102,98,20,82,2,0,5,13,9,10,0.33,0.427,0.605,1.032,*5/7HD,1
627,Alex Rodriguez,2001,25,TEX,AL,162,732,632,133,201,34,1,52,135,75,6,131,16,0,9,17,18,3,0.318,0.399,0.622,1.021,*6/D,1
628,Rafael Palmeiro,1999,34,TEX,AL,158,674,565,96,183,30,1,47,148,97,14,69,3,0,9,13,2,4,0.324,0.42,0.63,1.05,*D3/H,1
629,Sammy Sosa,1998,29,CHC,NL,159,722,643,134,198,20,0,66,158,73,14,171,1,0,5,20,18,9,0.308,0.377,0.647,1.024,*9/8,1
630,Bernie Williams,1998,29,NYY,AL,128,578,499,101,169,30,5,26,97,74,9,81,1,0,4,19,15,9,0.339,0.422,0.575,0.997,*8/D,1
631,Barry Bonds,1991,26,PIT,NL,153,634,510,95,149,28,5,25,116,107,25,73,4,0,13,8,43,13,0.292,0.41,0.514,0.924,*7/H8,1
632,Will Clark,1988,24,SFG,NL,162,689,575,102,162,31,6,29,109,100,27,129,4,0,10,9,9,1,0.282,0.386,0.508,0.894,*3/H,1
633,Mike Greenwell,1988,24,BOS,AL,158,693,590,86,192,39,8,22,119,87,18,38,9,0,7,11,16,8,0.325,0.416,0.531,0.946,*7D/9,1
634,Boog Powell,1969,27,BAL,AL,152,615,533,83,162,25,0,37,121,72,10,76,1,1,8,18,1,1,0.304,0.383,0.559,0.942,*3H,1
635,Dick Allen,1968,26,PHI,NL,152,605,521,87,137,17,9,33,90,74,15,161,1,2,7,7,7,7,0.263,0.352,0.52,0.872,*75/H8,1
636,Frank Robinson,1964,28,CIN,NL,156,662,568,103,174,38,6,29,96,79,20,67,9,0,6,13,23,5,0.306,0.396,0.548,0.943,97,1
637,Willie Mays,1961,30,SFG,NL,154,659,572,129,176,32,3,40,123,81,15,77,2,0,4,14,18,9,0.308,0.393,0.584,0.977,*8/H,1
638,Willie Mays,1960,29,SFG,NL,153,669,595,107,190,29,12,29,103,61,11,70,4,0,9,15,25,10,0.319,0.381,0.555,0.936,*8/H,1
639,Roger Maris,1960,25,NYY,AL,136,578,499,98,141,18,7,39,112,70,4,65,3,1,5,6,2,2,0.283,0.371,0.581,0.952,*9/8H,1
640,Al Rosen,1952,28,CLE,AL,148,649,567,101,171,32,5,28,105,75,9,54,4,3,,18,8,6,0.302,0.387,0.524,0.911,*5/36,1
641,Larry Doby,1951,27,CLE,AL,134,551,447,84,132,27,5,20,69,101,5,81,3,0,,10,4,1,0.295,0.428,0.512,0.941,*8/H,1
642,Johnny Mize,1947,34,NYG,NL,154,664,586,137,177,26,2,51,138,74,7,42,4,0,,6,2,0,0.302,0.384,0.614,0.998,*3,1
643,Mickey Vernon,1946,28,WSH,AL,148,638,587,88,207,51,8,8,85,49,10,64,0,2,,12,14,10,0.353,0.403,0.508,0.91,*3/H,1
644,Ted Williams,1939,20,BOS,AL,149,677,565,131,185,44,11,31,145,107,12,64,2,3,,10,2,1,0.327,0.436,0.609,1.045,*9,1
645,Babe Ruth,1934,39,NYY,AL,125,472,365,78,105,17,4,22,84,104,1,63,2,0,,,1,3,0.288,0.448,0.537,0.985,97H,1
646,Tony Lazzeri,1929,25,NYY,AL,147,639,545,101,193,37,11,18,106,68,1,45,4,18,,,9,10,0.354,0.43,0.562,0.991,*4,1
647,Sam Crawford,1908,28,DET,AL,152,655,591,102,184,33,16,7,80,37,,28,3,23,,,15,,0.311,0.355,0.457,0.812,*83/9H,1
648,Sam Crawford,1907,27,DET,AL,144,632,582,102,188,34,17,4,81,37,,29,2,11,,,18,,0.323,0.366,0.461,0.826,*8/3,1
649,Sam Crawford,1903,23,DET,AL,137,602,550,88,184,23,25,4,89,25,,46,2,25,,,18,,0.335,0.366,0.489,0.855,*97,1
650,Honus Wagner,1901,27,PIT,NL,140,620,549,101,194,37,11,6,126,53,,39,7,10,,,49,,0.353,0.417,0.494,0.911,695/74,1
651,Ed Delahanty,1894,26,PHI,NL,116,567,494,148,200,39,19,4,133,61,,16,7,5,,,22,,0.405,0.477,0.585,1.062,*73/5694,1
652,Jack Fournier,1925,32,BRO,NL,145,649,545,99,191,21,16,22,130,86,,39,8,10,,,4,6,0.351,0.446,0.569,1.015,*3,0
653,Jack Fournier,1924,31,BRO,NL,154,669,563,93,188,25,4,27,116,83,,46,10,13,,,7,5,0.334,0.428,0.536,0.965,*3/H,0
654,Mike Tiernan,1890,23,NYG,NL,133,626,553,132,168,25,21,13,59,68,,53,5,,,,56,,0.304,0.385,0.496,0.881,*8/79,0
655,Abner Dalrymple,1880,22,CHC,NL,86,385,382,91,126,25,12,0,36,3,,18,,,,,,,0.33,0.335,0.458,0.793,*7,0
656,Bryce Harper,2020,27,PHI,NL,58,244,190,41,51,9,2,13,33,49,8,43,2,1,2,5,8,2,0.268,0.42,0.542,0.962,*9D/8,1
657,Nelson Cruz,2015,34,SEA,AL,152,655,590,90,178,22,1,44,93,59,9,164,5,0,1,6,3,2,0.302,0.37,0.566,0.936,9D,1
658,David Ortiz,2013,37,BOS,AL,137,600,518,84,160,38,2,30,103,76,27,88,1,0,5,21,4,0,0.309,0.395,0.564,0.959,*D/3H,1
659,Miguel Cabrera,2006,23,FLA,NL,158,676,576,112,195,50,2,26,114,86,27,108,10,0,4,18,9,6,0.339,0.431,0.568,0.998,*5/D,1
660,Ray Lankford,1997,30,STL,NL,133,566,465,94,137,36,3,31,98,95,10,125,0,0,5,9,21,11,0.295,0.411,0.585,0.996,*8/H,1
661,Jose Canseco,1990,25,OAK,AL,131,563,481,83,132,14,2,37,101,72,8,158,5,0,5,9,19,10,0.274,0.371,0.543,0.914,*9D/H,1
662,Eddie Murray,1990,34,LAD,NL,155,645,558,96,184,22,3,26,95,82,21,64,1,0,4,19,8,5,0.33,0.414,0.52,0.934,*3/H,1
663,Dave Winfield,1988,36,NYY,AL,149,631,559,96,180,37,2,25,107,69,10,88,2,0,1,19,9,4,0.322,0.398,0.53,0.927,*9/HD,1
664,Joe Morgan,1974,30,CIN,NL,149,641,512,107,150,31,3,22,67,120,8,69,3,1,5,7,58,12,0.293,0.427,0.494,0.921,*4/H,1
665,Tony Perez,1973,31,CIN,NL,151,647,564,73,177,33,3,27,101,74,10,117,3,0,6,13,3,1,0.314,0.393,0.527,0.919,*3/H,1
666,Harmon Killebrew,1970,34,MIN,AL,157,665,527,96,143,20,1,41,113,128,23,84,2,0,8,28,0,3,0.271,0.411,0.547,0.957,*53/H,1
667,Willie McCovey,1967,29,SFG,NL,135,539,456,73,126,17,4,31,91,71,17,110,6,2,4,8,3,3,0.276,0.378,0.535,0.913,*3H,1
668,Bob Cerv,1958,33,KCA,AL,141,572,515,93,157,20,7,38,104,50,10,82,5,0,2,19,3,3,0.305,0.371,0.592,0.963,*7/H,1
669,Roy Campanella,1951,29,BRO,NL,143,562,505,90,164,33,1,33,108,53,14,51,4,0,,19,1,2,0.325,0.393,0.59,0.983,*2/H,1
670,Charlie Keller,1946,29,NYY,AL,150,655,538,98,148,29,10,30,101,113,13,101,4,0,,5,1,4,0.275,0.405,0.534,0.938,*7/9H,1
671,Chuck Klein,1930,25,PHI,NL,156,722,648,158,250,59,8,40,170,54,6,50,4,13,,,4,6,0.386,0.436,0.687,1.123,*9,1
672,Al Simmons,1929,27,PHA,AL,143,629,581,114,212,41,9,34,157,31,8,38,1,16,,,4,3,0.365,0.398,0.642,1.04,*7/H,1
673,Ross Youngs,1924,27,NYG,NL,133,612,526,112,187,33,12,10,74,77,,31,3,6,,,11,9,0.356,0.441,0.521,0.962,*9/4H,1
674,Ross Youngs,1920,23,NYG,NL,153,672,581,92,204,27,14,6,78,75,,55,2,13,,,18,18,0.351,0.427,0.477,0.904,*9,1
675,Edd Roush,1917,24,CIN,NL,136,567,522,82,178,19,14,4,67,27,,24,5,13,,,21,,0.341,0.379,0.454,0.833,*8/H,1
676,Frank Chance,1905,28,CHC,NL,118,502,392,92,124,16,12,2,70,78,,26,17,15,,,38,,0.316,0.45,0.434,0.883,*3/H,1
677,Fred Clarke,1902,29,PIT,NL,113,532,459,103,145,27,14,2,53,51,,38,14,6,,,29,,0.316,0.401,0.449,0.85,*7/9,1
678,Jim O'Rourke,1876,25,BSN,NL,70,327,312,61,102,17,3,2,43,15,,17,,,,,,,0.327,0.358,0.42,0.778,*8/732,1
679,Babe Herman,1929,26,BRO,NL,146,637,569,105,217,42,13,21,113,55,5,45,0,13,,,21,15,0.381,0.436,0.612,1.048,*9/H3,0
680,Ray Grimes,1922,28,CHC,NL,138,596,509,99,180,45,12,14,99,75,,33,6,6,,,7,7,0.354,0.442,0.572,1.014,*3,0
681,Shoeless Joe Jackson,1919,31,CHW,AL,139,599,516,79,181,31,14,7,96,60,,10,4,17,,,9,,0.351,0.422,0.506,0.928,*79,0
682,Bobby Veach,1917,29,DET,AL,154,666,571,79,182,31,12,8,110,61,,44,9,25,,,21,,0.319,0.393,0.457,0.85,*7,0
683,Oyster Burns,1892,27,BRO,NL,141,613,542,88,171,27,18,4,96,65,,42,6,,,,33,,0.316,0.395,0.454,0.849,*9/567,0
684,Mike Tiernan,1889,22,NYG,NL,122,600,499,147,167,23,14,10,73,96,,32,5,,,,33,,0.335,0.447,0.497,0.944,*9/8,0
685,Shohei Ohtani,2021,26,LAA,AL,155,639,537,103,138,26,8,46,100,96,20,189,4,0,2,7,26,10,0.257,0.373,0.592,0.965,*D1/H97,1
686,Ryan Braun,2012,28,MIL,NL,154,677,598,108,191,36,3,41,112,63,15,128,11,0,5,12,30,7,0.319,0.391,0.595,0.987,*7/DH,1
687,David Ortiz,2005,29,BOS,AL,159,713,601,119,180,40,1,47,148,102,9,124,1,0,9,13,1,0,0.3,0.397,0.604,1.001,*D3/H,1
688,Scott Rolen,2004,29,STL,NL,142,593,500,109,157,32,4,34,124,72,5,92,13,1,7,8,4,3,0.314,0.409,0.598,1.007,*5,1
689,Alex Rodriguez,2002,26,TEX,AL,162,725,624,125,187,27,2,57,142,87,12,122,10,0,4,14,9,4,0.3,0.392,0.623,1.015,*6/H,1
690,Jim Edmonds,2002,32,STL,NL,144,576,476,96,148,31,2,28,83,86,14,134,8,0,6,9,4,3,0.311,0.42,0.561,0.981,*8/H,1
691,Phil Nevin,2001,30,SDP,NL,149,624,546,97,167,31,0,41,126,71,7,147,4,0,3,13,4,4,0.306,0.388,0.588,0.976,*5/HD,1
692,Edgar Martinez,2000,37,SEA,AL,153,665,556,100,180,31,0,37,145,96,8,95,5,0,8,13,3,0,0.324,0.423,0.579,1.002,*D/H3,1
693,Edgar Martinez,1998,35,SEA,AL,154,672,556,86,179,46,1,29,102,106,4,96,3,0,7,13,1,1,0.322,0.429,0.565,0.993,*D/3H,1
694,Larry Walker,1998,31,COL,NL,130,524,454,113,165,46,3,23,67,64,2,61,4,0,2,11,14,4,0.363,0.445,0.63,1.075,*9/H84D5,1
695,Jeff Bagwell,1998,30,HOU,NL,147,661,540,124,164,33,1,34,111,109,8,90,7,0,5,14,19,7,0.304,0.424,0.557,0.981,*3/H,1
696,David Justice,1997,31,CLE,AL,139,582,495,84,163,31,1,33,101,80,11,79,0,0,7,12,3,5,0.329,0.418,0.596,1.014,7D/9H,1
697,Albert Belle,1996,29,CLE,AL,158,715,602,124,187,38,3,48,148,99,15,87,7,0,7,20,11,0,0.311,0.41,0.623,1.033,*7/D,1
698,Tony Gwynn,1987,27,SDP,NL,157,680,589,119,218,36,13,7,54,82,26,35,3,2,4,13,56,12,0.37,0.447,0.511,0.958,*9/H,1
699,George Brett,1983,30,KCR,AL,123,525,464,90,144,38,2,25,93,57,13,39,1,0,3,9,0,1,0.31,0.385,0.563,0.947,*53/97HD,1
700,Mike Schmidt,1974,24,PHI,NL,162,686,568,108,160,28,7,36,116,106,14,138,4,3,5,4,23,12,0.282,0.395,0.546,0.941,*5,1
701,Willie Mays,1971,40,SFG,NL,136,537,417,82,113,24,5,18,61,112,11,123,3,1,4,8,23,3,0.271,0.425,0.482,0.907,83H,1
702,Tony Perez,1970,28,CIN,NL,158,681,587,107,186,28,6,40,129,83,13,134,4,0,7,15,8,3,0.317,0.401,0.589,0.99,*5/3H,1
703,Pete Rose,1969,28,CIN,NL,156,731,627,120,218,33,11,16,82,88,18,65,5,2,6,13,7,10,0.348,0.428,0.512,0.94,98/4,1
704,Jim Wynn,1968,26,HOU,NL,156,646,542,85,146,23,5,26,67,90,9,131,5,5,4,6,11,17,0.269,0.376,0.474,0.85,87/9H,1
705,Boog Powell,1966,24,BAL,AL,140,565,491,78,141,18,0,34,109,67,9,125,1,3,3,8,0,4,0.287,0.372,0.532,0.904,*3/H,1
706,Mickey Mantle,1954,22,NYY,AL,146,651,543,129,163,17,12,27,102,102,7,107,0,2,4,3,5,2,0.3,0.408,0.525,0.933,*8/6H94,1
707,Gabby Hartnett,1937,36,CHC,NL,110,405,356,47,126,21,6,12,82,43,13,19,0,6,,8,0,3,0.354,0.424,0.548,0.971,*2H,1
708,Joe Medwick,1936,24,STL,NL,155,677,636,115,223,64,13,18,138,34,8,33,4,3,,14,3,1,0.351,0.387,0.577,0.964,*7,1
709,Bill Dickey,1936,29,NYY,AL,112,472,423,99,153,26,8,22,107,46,7,16,3,0,,,0,2,0.362,0.428,0.617,1.045,*2/H,1
710,Ripper Collins,1934,30,STL,NL,154,662,600,116,200,40,12,35,128,57,3,50,2,3,,11,2,4,0.333,0.393,0.615,1.008,*3,1
711,Mickey Cochrane,1933,30,PHA,AL,130,542,429,104,138,30,4,15,60,106,0,22,3,4,,,8,6,0.322,0.459,0.515,0.974,*2/H,1
712,Bill Terry,1930,31,NYG,NL,154,710,633,139,254,39,15,23,129,57,0,33,1,19,,,8,3,0.401,0.452,0.619,1.071,*3,1
713,Hack Wilson,1927,27,CHC,NL,146,646,551,119,175,30,12,30,129,71,,70,6,18,,,13,,0.318,0.401,0.579,0.98,*8,1
714,George Sisler,1918,25,SLB,AL,114,506,452,69,154,21,9,2,41,40,,17,5,9,,,45,,0.341,0.4,0.44,0.841,*3/1,1
715,Sam Crawford,1914,34,DET,AL,157,674,582,74,183,22,26,8,104,69,,31,1,22,,,25,16,0.314,0.388,0.483,0.871,*9,1
716,Eddie Collins,1912,25,PHA,AL,153,677,543,137,189,25,11,0,64,101,,28,0,29,,,63,22,0.348,0.45,0.435,0.885,*4,1
717,Frank Chance,1906,29,CHC,NL,136,577,474,103,151,24,10,3,71,70,,31,12,18,,,57,,0.319,0.419,0.43,0.85,*3,1
718,Buck Ewing,1888,28,NYG,NL,103,442,415,83,127,18,15,6,58,24,,28,3,,,,53,,0.306,0.348,0.465,0.814,*25/61,1
719,Cap Anson,1880,28,CHC,NL,86,370,356,54,120,24,1,1,74,14,,12,,,,,,,0.337,0.362,0.419,0.781,*3/564,1
720,Luke Voit,2020,29,NYY,AL,56,234,213,41,59,5,0,22,52,17,0,54,3,0,1,4,0,0,0.277,0.338,0.61,0.948,*3/DH,0
721,Bobby Veach,1919,31,DET,AL,139,601,538,87,191,45,17,3,97,33,,33,5,22,,,19,,0.355,0.398,0.519,0.916,*7/H,0
722,George Burns,1918,25,PHA,AL,130,545,505,61,178,22,9,6,70,23,,25,8,8,,,8,,0.353,0.39,0.467,0.857,*3/79,0
723,Joe Connolly,1914,30,BSN,NL,120,469,399,64,122,28,10,9,65,49,,36,8,13,,,12,,0.306,0.393,0.494,0.886,*7H/9,0
724,Sherry Magee,1914,29,PHI,NL,146,616,544,96,171,39,11,15,103,55,,42,3,14,,,25,,0.314,0.38,0.509,0.89,763/48H,0
725,Jimmy Sheckard,1903,24,BRO,NL,139,621,515,99,171,29,9,9,75,75,,48,6,20,,,67,,0.332,0.423,0.476,0.899,*7,0
726,Jimmy Williams,1899,22,PIT,NL,153,693,621,126,220,28,27,9,116,60,,51,6,6,,,26,,0.354,0.416,0.53,0.946,*5,0
727,Mike Tiernan,1896,29,NYG,NL,133,605,521,132,192,24,16,7,89,77,,18,2,5,,,35,,0.369,0.452,0.516,0.968,*9,0
728,Mike Smith,1893,25,PIT,NL,128,600,518,121,179,26,23,7,103,77,,23,5,,,,26,,0.346,0.435,0.525,0.96,*7,0
729,Tom York,1878,27,PRO,NL,62,277,269,56,83,19,10,1,26,8,,19,,,,,,,0.309,0.329,0.465,0.793,*7,0
730,Charley Jones,1878,26,CIN,NL,61,265,261,50,81,11,7,3,39,4,,17,,,,,,,0.31,0.321,0.441,0.761,*78,0
