Rk,Player,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,All Star and/or HOF (played prior to 1933 when AS Game was created)
277,J.D. Martinez,2018,30,BOS,AL,150,649,569,111,188,37,2,43,130,69,11,146,4,0,7,19,6,1,0.33,0.402,0.629,1.031,D79,1
278,Mike Trout,2016,24,LAA,AL,159,681,549,123,173,32,5,29,100,116,12,137,11,0,5,5,30,7,0.315,0.441,0.55,0.991,*8D/H,1
279,José Abreu,2014,27,CHW,AL,145,622,556,80,176,35,2,36,107,51,15,131,11,0,4,14,3,1,0.317,0.383,0.581,0.964,*3D/H,1
280,Albert Pujols,2010,30,STL,NL,159,700,587,115,183,39,1,42,118,103,38,76,4,0,6,23,14,4,0.312,0.414,0.596,1.011,*3/H,1
281,Alex Rodriguez,2005,29,NYY,AL,162,715,605,124,194,29,1,48,130,91,8,139,16,0,3,8,21,6,0.321,0.421,0.61,1.031,*5/6D,1
282,Albert Pujols,2004,24,STL,NL,154,692,592,133,196,51,2,46,123,84,12,52,7,0,9,21,5,5,0.331,0.415,0.657,1.072,*3/DH,1
283,Harmon Killebrew,1967,31,MIN,AL,163,689,547,105,147,24,1,44,113,131,15,111,3,0,8,16,1,0,0.269,0.408,0.558,0.965,*3/5,1
284,Frank Robinson,1962,26,CIN,NL,162,701,609,134,208,51,2,39,136,76,16,62,11,0,5,13,18,9,0.342,0.421,0.624,1.045,*97/H,1
285,Willie Mays,1957,26,NYG,NL,152,669,585,112,195,26,20,35,97,76,15,62,1,0,6,14,38,19,0.333,0.407,0.626,1.033,*8/H,1
286,Ralph Kiner,1947,24,PIT,NL,152,666,565,118,177,23,4,51,127,98,8,81,2,1,,12,1,3,0.313,0.417,0.639,1.055,*7/H,1
287,Joe DiMaggio,1940,25,NYY,AL,132,572,508,93,179,28,9,31,133,61,14,30,3,0,,16,1,2,0.352,0.425,0.626,1.051,*8/H,1
288,Jimmie Foxx,1929,21,PHA,AL,149,638,517,123,183,23,9,33,118,103,5,70,2,16,,,9,7,0.354,0.463,0.625,1.088,*3/5,1
289,Ed Delahanty,1901,33,PHI,NL,139,621,542,106,192,38,16,8,108,65,,60,4,10,,,29,,0.354,0.427,0.528,0.955,73/8,1
